pin,size,threads,runtime,runtimestd,usertime,usertimestd,energy,energystd
true,1250,15,0.94946305,0.01897249,14.08030505,0.27730463,38.61407602,0.95349548
true,1250,16,1.02826947,0.00489991,16.26195028,0.06522537,40.94286632,0.16759581
true,1500,4,3.34309361,0.01162112,13.33142340,0.04472227,85.59481872,1.05782540
true,1500,5,3.80291709,0.04242153,17.85281148,0.10753974,93.30730388,1.86532481
true,1500,6,3.87793199,0.07098427,22.43501390,0.20081783,95.87750360,1.68554586
true,1500,7,4.13213132,0.04034859,28.19208244,0.13086821,101.17839696,0.84323891
true,1500,8,4.73166048,0.01990269,37.70424429,0.15613173,114.14715164,1.18700142
true,1500,9,3.31897571,0.12513875,29.17788235,0.36095099,92.69135454,2.60908472
true,1500,10,2.58457009,0.00879144,25.72036243,0.07985328,82.17121550,0.61606038
true,1500,11,2.14423410,0.00869199,23.44933763,0.08763002,76.58819388,0.58695831
true,1500,12,1.94035292,0.05226561,21.98272017,0.25930920,73.64109932,1.29697703
true,1500,13,1.93567649,0.03114616,24.32676875,0.20260449,74.77836448,0.67173924
true,1500,14,1.98199847,0.02283037,27.19456171,0.27137282,76.90960282,0.79982193
true,1500,15,2.10297906,0.02031826,31.06880824,0.20795331,80.84331480,1.01007815
true,1500,16,2.34738081,0.03263473,37.29749373,0.55987907,88.35746670,0.81741407
