pin,size,threads,runtime,runtimesd,energy,energysd,name
true,800,5,0.31997335,0.008378555,7.210839,0.22496094,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_800_800__i__i__d_800_800__i__i__d_800_800__d
true,800,6,0.2581833,0.0033980724,5.9202294,0.07724893,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_800_800__i__i__d_800_800__i__i__d_800_800__d
true,800,7,0.2255336,0.0050969664,5.9404006,0.114875935,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_800_800__i__i__d_800_800__i__i__d_800_800__d
true,800,8,0.19366825,0.0041541094,5.2133193,0.1117155,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_800_800__i__i__d_800_800__i__i__d_800_800__d
true,800,9,0.17376687,0.0024380866,5.2624555,0.067778155,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_800_800__i__i__d_800_800__i__i__d_800_800__d
true,800,10,0.15764254,0.0027346117,4.841552,0.109807,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_800_800__i__i__d_800_800__i__i__d_800_800__d
true,800,11,0.140842,0.0032725593,4.8748264,0.10551419,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_800_800__i__i__d_800_800__i__i__d_800_800__d
true,800,12,0.12976345,0.0018565042,4.5777345,0.06443572,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_800_800__i__i__d_800_800__i__i__d_800_800__d
true,800,13,0.12033238,0.0036442736,4.6539984,0.13371482,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_800_800__i__i__d_800_800__i__i__d_800_800__d
true,800,14,0.110699564,0.005228836,4.3611116,0.11433287,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_800_800__i__i__d_800_800__i__i__d_800_800__d
true,800,15,0.10681138,0.002504458,4.585976,0.08855978,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_800_800__i__i__d_800_800__i__i__d_800_800__d
true,800,16,0.09759392,0.0030376206,4.277432,0.10605689,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_800_800__i__i__d_800_800__i__i__d_800_800__d
true,900,1,1.1917478,0.0013270237,18.803577,0.725967,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_900_900__i__i__d_900_900__i__i__d_900_900__d
true,900,2,1.1185118,0.05452868,17.620611,0.8309718,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_900_900__i__i__d_900_900__i__i__d_900_900__d
true,900,3,0.72588944,0.024449347,13.9682,0.43728969,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_900_900__i__i__d_900_900__i__i__d_900_900__d
true,900,4,0.5909418,0.006626444,11.744292,0.31681046,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_900_900__i__i__d_900_900__i__i__d_900_900__d
true,900,5,0.48344153,0.006477948,11.238278,0.17967726,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_900_900__i__i__d_900_900__i__i__d_900_900__d
true,900,6,0.40731454,0.0024758019,9.666882,0.0715984,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_900_900__i__i__d_900_900__i__i__d_900_900__d
true,900,7,0.33420867,0.0035885833,9.057623,0.099286765,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_900_900__i__i__d_900_900__i__i__d_900_900__d
true,900,8,0.300974,0.0014060526,8.331854,0.07234291,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_900_900__i__i__d_900_900__i__i__d_900_900__d
true,900,9,0.26152635,0.0038426644,8.24148,0.14205399,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_900_900__i__i__d_900_900__i__i__d_900_900__d
true,900,10,0.2434183,0.0026051186,7.7336717,0.07367756,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_900_900__i__i__d_900_900__i__i__d_900_900__d
true,900,11,0.21433756,0.0029654885,7.675,0.10016228,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_900_900__i__i__d_900_900__i__i__d_900_900__d
true,900,12,0.19457877,0.0010548988,7.151104,0.12613504,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_900_900__i__i__d_900_900__i__i__d_900_900__d
true,900,13,0.17346261,0.0042847516,7.368073,0.3883631,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_900_900__i__i__d_900_900__i__i__d_900_900__d
true,900,14,0.16546188,0.005434547,6.81255,0.17574611,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_900_900__i__i__d_900_900__i__i__d_900_900__d
true,900,15,0.14588806,0.0026621816,6.569852,0.09974622,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_900_900__i__i__d_900_900__i__i__d_900_900__d
true,900,16,0.15624753,0.020490572,7.1785655,0.71696705,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_900_900__i__i__d_900_900__i__i__d_900_900__d
true,1000,1,1.7045842,0.0060959198,26.425049,0.40359443,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1000_1000__i__i__d_1000_1000__i__i__d_1000_1000__d
true,1000,2,2.9495096,0.09280429,44.89707,1.3685706,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1000_1000__i__i__d_1000_1000__i__i__d_1000_1000__d
true,1000,3,1.9499981,0.16134864,35.972565,2.995108,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1000_1000__i__i__d_1000_1000__i__i__d_1000_1000__d
true,1000,4,1.6712703,0.0034112975,31.34729,0.22381574,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1000_1000__i__i__d_1000_1000__i__i__d_1000_1000__d
true,1000,5,1.2880722,0.0060328906,27.890884,0.41874716,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1000_1000__i__i__d_1000_1000__i__i__d_1000_1000__d
true,1000,6,1.0748464,0.0073074647,23.77637,0.25899127,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1000_1000__i__i__d_1000_1000__i__i__d_1000_1000__d
true,1000,7,0.9295024,0.060867198,23.479958,1.437898,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1000_1000__i__i__d_1000_1000__i__i__d_1000_1000__d
true,1000,8,0.7564559,0.058804076,19.753265,1.4056091,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1000_1000__i__i__d_1000_1000__i__i__d_1000_1000__d
true,1000,9,0.7106382,0.01505808,20.717566,0.35971048,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1000_1000__i__i__d_1000_1000__i__i__d_1000_1000__d
true,1000,10,0.61019063,0.030204432,18.350885,0.7383501,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1000_1000__i__i__d_1000_1000__i__i__d_1000_1000__d
true,1000,11,0.57304335,0.0015848194,19.078093,0.115386695,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1000_1000__i__i__d_1000_1000__i__i__d_1000_1000__d
true,1000,12,0.5272425,0.0058235982,17.868093,0.23636879,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1000_1000__i__i__d_1000_1000__i__i__d_1000_1000__d
true,1000,13,0.45741123,0.006957821,17.244377,0.26470178,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1000_1000__i__i__d_1000_1000__i__i__d_1000_1000__d
true,1000,14,0.43346566,0.010942596,16.515093,0.29446524,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1000_1000__i__i__d_1000_1000__i__i__d_1000_1000__d
true,1000,15,0.42571354,0.002594759,17.60071,0.101240955,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1000_1000__i__i__d_1000_1000__i__i__d_1000_1000__d
true,1000,16,0.3807605,0.00034939585,16.155842,0.05498546,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1000_1000__i__i__d_1000_1000__i__i__d_1000_1000__d
true,1100,1,2.2742896,0.010329228,36.04016,1.5768067,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1100_1100__i__i__d_1100_1100__i__i__d_1100_1100__d
true,1100,2,4.2108464,0.019541668,63.493465,0.6113796,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1100_1100__i__i__d_1100_1100__i__i__d_1100_1100__d
true,1100,3,2.5951684,0.15767094,47.851173,3.0376344,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1100_1100__i__i__d_1100_1100__i__i__d_1100_1100__d
true,1100,4,2.0378718,0.08525823,38.66916,1.5136974,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1100_1100__i__i__d_1100_1100__i__i__d_1100_1100__d
true,1100,5,1.762108,0.007994423,38.138615,0.22389342,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1100_1100__i__i__d_1100_1100__i__i__d_1100_1100__d
true,1100,6,1.2542868,0.04553743,28.372353,1.4765311,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1100_1100__i__i__d_1100_1100__i__i__d_1100_1100__d
true,1100,7,1.2788968,0.00352935,32.24031,0.1678491,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1100_1100__i__i__d_1100_1100__i__i__d_1100_1100__d
true,1100,8,1.0603192,0.031733308,27.631172,0.77050173,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1100_1100__i__i__d_1100_1100__i__i__d_1100_1100__d
true,1100,9,0.95758975,0.004891049,27.995014,0.46159536,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1100_1100__i__i__d_1100_1100__i__i__d_1100_1100__d
true,1100,10,0.8076149,0.04851284,24.337303,1.1893995,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1100_1100__i__i__d_1100_1100__i__i__d_1100_1100__d
