time,intel-rapl:0,intel-rapl:0:0
7.6871753,20.05694,2.07264
7.7372875,20.02948,1.9969799999999998
7.7874513,19.72004,1.97712
7.8376045,20.117379999999997,2.0458
7.8877516,19.756659999999997,2.03024
7.938283,19.888199999999998,2.12176
7.9884477,18.79876,2.1263599999999996
8.038683,20.10304,2.62224
8.088921,20.33646,2.5722
8.139116,20.56932,2.35248
8.18932,19.41244,1.99086
8.239506,18.65138,2.58776
8.289692,22.29896,2.1946999999999997
8.339884,20.27728,1.91214
8.390086,20.121639999999996,1.8907599999999998
8.440298,19.71944,1.90664
8.490495,19.68648,1.9426599999999998
8.540687,20.4741,1.9896399999999999
8.590885,20.41002,1.89688
8.641082,19.986439999999998,1.8904599999999998
8.691274,19.9654,1.88924
8.741458,20.015439999999998,1.8984
8.791691,20.107,1.9115399999999998
